id,name,parent_id,created_at,updated_at,children_count,cover,logo,product_template_id,state,status_text,position,suppliers_count,post_tag,products_count,slug,certifiers_count,labels_count,cover_original_content_type,cover_original_filename,cover_original_filesize,logo_original_content_type,logo_original_filename,logo_original_filesize,cover_title,cover_alt,cover_description,logo_title,logo_alt,logo_description
63afa87d-d97b-4588-8184-60473993f6fb,Almond,15ebb1b7-0bb3-4c25-8947-1e24955ae69a,2020-07-28 21:09:27.727722,2020-07-28 21:09:27.727722,0,,,,new, ,14,16,,34,,0,0,,,0,,,0,,,,,,
a438d1e7-c747-4dd2-a268-ae9863861dfd,Syrup,cd30def1-2053-421f-a13a-77e1b7983a96,2020-07-28 21:30:48.850836,2020-11-10 13:25:49.888958,0,,,,enabled, ,7,1,,1,food-and-beverage-syrup,0,0,,,0,,,0,,,,,,
b9da26c8-a976-4278-9648-b602b5e653bb,Pizza,9e6cd70a-3baa-4c5c-a27e-5c9c2dd6043c,2020-07-28 21:50:02.018729,2020-07-28 22:04:09.381894,0,,,,new, ,10,3,,3,,0,0,,,0,,,0,,,,,,
0a07f765-3d62-431b-8bed-7ad838329e5c,Water,cd30def1-2053-421f-a13a-77e1b7983a96,2020-07-28 21:24:31.795824,2020-11-10 13:25:43.541371,0,,,,enabled, ,1,6,,16,food-and-beverage-water,0,4,,,0,,,0,,,,,,
aa912b23-b2df-4aaf-8865-67dbbd08fd4e,Biscuits,9e6cd70a-3baa-4c5c-a27e-5c9c2dd6043c,2020-07-28 21:48:32.433922,2020-07-28 21:48:32.433922,0,,,,new, ,6,0,,0,,0,0,,,0,,,0,,,,,,
db088da1-9613-436a-abad-ed42cc83f65b,White tea,a7e4c6ba-77e6-4085-8e8f-73c3f655b389,2020-07-28 22:22:07.271202,2020-07-28 22:22:07.271202,0,,,,new, ,3,0,,0,,0,0,,,0,,,0,,,,,,
45a08e74-6c6d-4913-8b15-7bd121acb287,Intimate Hygiene and Accessories,1d47f63b-8e49-4309-96e4-e8c6dccd7219,2020-11-06 15:55:44.844206,2020-11-06 16:23:54.234409,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,enabled, ,9,9,,16,cosmetics-and-beauty-intimate-hygiene,0,0,,,0,,,0,,,,,,
d4c74cb6-9a29-42ee-9a72-2a016bdecfa6,Blend of coffee,c54c76fb-4906-4afd-b6f6-c7116192dd17,2020-07-28 22:15:30.224346,2020-11-26 10:50:21.809101,0,,,,disabled, ,3,1,,0,food-and-beverage-blend-of-coffee,0,0,,,0,,,0,,,,,,
50b8e7b0-1f41-467e-ae55-565c87a1384c,Coconut,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:58:17.089845,2020-08-20 15:27:19.421386,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,28,0,,0,food-and-beverage-coconut,0,0,,,0,,,0,,,,,,
a88d5a02-b936-4a73-b207-93c94b48b582,Flavored tea,a7e4c6ba-77e6-4085-8e8f-73c3f655b389,2020-07-28 22:22:18.164247,2020-07-28 22:22:18.164247,0,,,,new, ,4,0,,0,,0,0,,,0,,,0,,,,,,
60d99456-3764-4a28-bf09-0220aa83d905,Fish,00dced3d-a183-4583-9a03-a0630a57ee07,2020-07-28 21:58:08.237556,2020-07-28 22:00:46.062652,0,,,,new, ,1,0,,0,,0,0,,,0,,,0,,,,,,
f3e1761f-884b-4da0-b629-fde5313753e7,Cocoa butter,db05b572-5c0d-4949-9d1f-6d99ab530896,2020-07-28 22:37:16.289517,2020-07-28 22:37:16.289517,0,,,,new, ,3,0,,0,,0,0,,,0,,,0,,,,,,
bc7c6d22-7d8d-42b1-8d9c-0294ed0dc3f5,Shellfish,00dced3d-a183-4583-9a03-a0630a57ee07,2020-07-28 22:02:59.972342,2020-07-28 22:02:59.972342,0,,,,new, ,2,0,,0,,0,0,,,0,,,0,,,,,,
a1fd18e8-a059-47e3-9fe3-a6fdffe1fd53,Pastries,9e6cd70a-3baa-4c5c-a27e-5c9c2dd6043c,2020-07-28 21:49:53.90325,2020-07-28 22:04:09.381894,0,,,,new, ,9,0,,0,,0,0,,,0,,,0,,,,,,
1362a97a-039f-4e28-9d37-2b49d401960a,Recycled co2 based fibers,c7f59982-e4df-400e-86fe-bd8aa02bff5e,2020-08-14 10:40:02.594963,2020-08-21 19:30:32.447817,0,,,86c8d37b-3ded-4a14-88b2-80bd3bff8cc7,disabled, ,3,0,,0,textiles-yarns-and-fibers-recycled-co2-based-fibers,0,0,,,0,,,0,,,,,,
7f494331-af4f-4fe6-9b5c-5f10b8e0941b,Canned fruit,9e6cd70a-3baa-4c5c-a27e-5c9c2dd6043c,2020-07-28 21:44:47.753657,2020-07-28 21:44:47.753657,0,,,,new, ,1,0,,0,,0,0,,,0,,,0,,,,,,
